,TVOC,CO2,PM 2.5,PM 10,pm25Value,pm10Value,delta_Pw,delta_Pt,window1_area,window2_area,temp_in_air,rainfall,wind_direction,wind_speed,air_pressure,humidity_in_air,time_prime
2020-01-01 00:00:00,423.9773898179581,1777.4858686362238,10.822700993929347,12.368103993958636,28.0,50.0,0.0,0.0,0.0,0.0,-1.900000000000002,0.0,288.5,0.19999999999999982,1014.400000000001,62.19999999999993,0
2020-01-01 00:01:00,422.1196157517394,1776.309027870396,11.563122011321418,12.623213804908943,28.0,50.0,0.0,0.0,0.0,0.0,-1.799999999999998,0.0,96.39999999999993,0.5,1017.3000000000011,60.0,0
2020-01-01 00:02:00,419.9110083600703,1774.782113538791,9.866972847239468,12.88053906091199,28.0,50.0,0.0,0.0,0.0,0.0,-1.799999999999998,0.0,83.8000000000001,0.5,1017.1999999999989,59.80000000000006,0
2020-01-01 00:03:00,421.1481917416965,1775.6648672169836,10.196996472970605,11.522571977559686,28.0,50.0,0.0,0.0,0.0,0.0,-1.7000000000000017,0.0,66.30000000000008,0.39999999999999963,1017.1999999999989,59.80000000000006,0
2020-01-01 00:04:00,421.28401907046947,1775.7799674950832,9.688124783093132,10.866408841702013,28.0,50.0,0.0,0.0,0.0,0.0,-1.7000000000000017,0.0,167.0,0.7999999999999993,1017.1999999999989,59.69999999999994,0
2020-01-01 00:05:00,421.017778637383,1775.5800196377347,9.706079400853945,11.693442778996435,28.0,50.0,0.0,0.0,0.0,0.0,-1.7000000000000017,0.0,143.80000000000007,0.7000000000000004,1017.1999999999989,59.59999999999994,0
2020-01-01 00:06:00,420.46389729074104,1775.2823461506175,10.404374710214718,11.518118854341715,28.0,50.0,0.0,0.0,0.0,0.0,-1.7000000000000017,0.0,136.19999999999987,0.6000000000000008,1017.1999999999989,59.59999999999994,0
2020-01-01 00:07:00,420.5123166820328,1775.3191709712821,11.831458868065331,15.505738325099554,28.0,50.0,0.0,0.0,0.0,0.0,-1.7000000000000017,0.0,192.89999999999978,0.7000000000000004,1017.1999999999989,59.69999999999994,0
2020-01-01 00:08:00,419.98596914003144,1774.9051807006722,11.50970856862531,12.95591888304926,28.0,50.0,0.0,0.0,0.0,0.0,-1.7000000000000017,0.0,204.70000000000016,0.7999999999999993,1017.1999999999989,59.69999999999994,0
2020-01-01 00:09:00,419.4097405990056,1774.4641825295257,10.934013684861549,11.619708044385707,28.0,50.0,0.0,0.0,0.0,0.0,-1.5999999999999985,0.0,202.60000000000022,1.0,1017.1999999999989,59.69999999999994,0
2020-01-01 00:10:00,420.1117623154151,1774.9813301595293,10.315100789592645,11.685895656827066,28.0,50.0,0.0,0.0,0.0,0.0,-1.5999999999999985,0.0,226.5,1.1000000000000008,1017.1999999999989,59.69999999999994,0
2020-01-01 00:11:00,421.3554251059448,1775.670949016574,9.951833278805672,10.70393758664904,28.0,50.0,0.0,0.0,0.0,0.0,-1.5999999999999985,0.0,219.7999999999998,1.0,1017.1999999999989,59.59999999999994,0
2020-01-01 00:12:00,425.6617301780851,1778.5068826524769,11.254956808656235,11.271951121465897,28.0,50.0,0.0,0.0,0.0,0.0,-1.5999999999999985,0.0,214.5,1.2999999999999985,1017.1999999999989,59.69999999999994,0
2020-01-01 00:13:00,424.4606412068875,1777.7836115950624,10.760992150727839,11.992309396299765,28.0,50.0,0.0,0.0,0.0,0.0,-1.5999999999999985,0.0,223.10000000000022,1.1000000000000008,1017.1999999999989,59.59999999999994,0
2020-01-01 00:14:00,424.2692660094329,1777.6677108888182,11.15780543559655,11.958383613477475,28.0,50.0,0.0,0.0,0.0,0.0,-1.5999999999999985,0.0,230.89999999999975,0.899999999999999,1017.1999999999989,59.40000000000006,0
2020-01-01 00:15:00,426.45491431055694,1779.0342429145023,10.722292420784093,11.514964047338246,28.0,50.0,0.0,0.0,0.0,0.0,-1.5999999999999985,0.0,230.20000000000022,0.899999999999999,1017.1999999999989,59.40000000000006,0
2020-01-01 00:16:00,427.6649852308626,1779.8538573524131,9.55331909899762,11.507896327128748,28.0,50.0,0.0,0.0,0.0,0.0,-1.5999999999999985,0.0,235.10000000000025,0.7999999999999993,1017.099999999999,59.30000000000006,0
2020-01-01 00:17:00,428.42203923337803,1780.4475955615642,9.189173268625769,10.062717616757713,28.0,50.0,0.0,0.0,0.0,0.0,-1.5999999999999985,0.0,249.60000000000025,0.7000000000000004,1017.099999999999,59.40000000000006,0
2020-01-01 00:18:00,429.15193994249574,1781.1553979748671,10.337819068342636,10.86767996169617,28.0,50.0,0.0,0.0,0.0,0.0,-1.5999999999999985,0.0,270.89999999999975,0.5,1017.099999999999,59.40000000000006,0
2020-01-01 00:19:00,432.72123838931344,1784.659185645198,9.79155605351892,10.523529237886999,28.0,50.0,0.0,0.0,0.0,0.0,-1.5999999999999985,0.0,259.7999999999997,0.7000000000000004,1017.099999999999,59.5,0
2020-01-01 00:20:00,426.3796565780395,1746.4610049064727,10.849480804787289,11.333561145528568,28.0,50.0,0.0,0.0,0.0,0.0,-1.7000000000000017,0.0,241.0,0.899999999999999,1017.099999999999,59.40000000000006,0
2020-01-01 00:21:00,432.794279171683,1773.0386529325308,9.428979882217481,10.885124132122394,28.0,50.0,0.0,0.0,0.0,0.0,-1.7000000000000017,0.0,250.10000000000025,0.899999999999999,1017.099999999999,59.5,0
2020-01-01 00:22:00,435.42895059571515,1785.7167164368643,10.37839245469868,11.99678696622903,28.0,50.0,0.0,0.0,0.0,0.0,-1.7000000000000017,0.0,257.2000000000003,0.899999999999999,1017.099999999999,59.69999999999994,0
