,index,dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value,pm10Value24,pm25Value24,khaiValue,khaiGrade,so2Grade,coGrade,o3Grade,no2Grade,pm10Grade,pm25Grade,pm10Grade1h,pm25Grade1h,date
1281,925,2020-01-17 01:00,0.004,0.5,0.012,0.027000000000000003,29,14,29,16,51,2.0,1,1,1,1,1,2.0,1,1.0,2020-01-17
1282,924,2020-01-17 02:00,0.003,0.5,0.009000000000000001,0.031,24,-,27,16,51,2.0,1,1,1,2,1,2.0,1,1.0,2020-01-17
1283,923,2020-01-17 03:00,0.004,0.6,0.005,0.035,33,27,29,18,58,2.0,1,1,1,2,1,2.0,2,2.0,2020-01-17
1284,922,2020-01-17 04:00,0.006,0.7,0.001,0.04,32,21,30,19,66,2.0,1,1,1,2,1,2.0,2,2.0,2020-01-17
1285,921,2020-01-17 05:00,0.005,0.7,0.001,0.042,36,22,31,21,70,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1286,920,2020-01-17 06:00,0.003,0.6,0.001,0.04,38,23,33,21,66,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1287,919,2020-01-17 07:00,0.004,0.7,0.001,0.042,39,25,35,21,70,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1288,918,2020-01-17 08:00,0.003,0.7,0.001,0.042,42,23,36,22,70,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1289,917,2020-01-17 09:00,0.003,0.6,0.002,0.040999999999999995,39,23,37,22,68,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1290,916,2020-01-17 10:00,0.003,0.7,0.003,0.038,51,39,39,25,74,2.0,1,1,1,2,2,2.0,2,3.0,2020-01-17
1291,915,2020-01-17 11:00,0.003,0.6,0.006,0.038,70,36,45,25,74,2.0,1,1,1,2,2,2.0,2,3.0,2020-01-17
1292,914,2020-01-17 12:00,0.003,0.7,0.006,0.040999999999999995,66,35,47,26,77,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1293,913,2020-01-17 13:00,0.003,0.6,0.009000000000000001,0.039,59,41,51,28,82,2.0,1,1,1,2,2,2.0,2,3.0,2020-01-17
1294,912,2020-01-17 14:00,0.003,0.5,0.011000000000000001,0.039,55,44,52,30,87,2.0,1,1,1,2,2,2.0,2,3.0,2020-01-17
1295,911,2020-01-17 15:00,0.003,0.5,0.013999999999999999,0.035,49,33,53,30,87,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1296,910,2020-01-17 16:00,0.003,0.4,0.017,0.033,42,34,50,30,87,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1297,909,2020-01-17 17:00,0.002,0.4,0.017,0.031,35,24,47,29,85,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1298,908,2020-01-17 18:00,0.003,0.4,0.012,0.037000000000000005,46,-,46,29,85,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1299,907,2020-01-17 19:00,0.002,0.5,0.004,0.048,42,40,45,30,87,2.0,1,1,1,2,2,2.0,2,3.0,2020-01-17
1300,906,2020-01-17 20:00,0.002,0.5,0.004,0.048,52,35,47,31,90,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1301,905,2020-01-17 21:00,0.003,0.5,0.003,0.05,40,30,48,32,92,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1302,904,2020-01-17 22:00,0.003,0.6,0.001,0.052000000000000005,47,26,48,31,90,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1303,903,2020-01-17 23:00,0.004,0.7,0.001,0.053,47,27,47,30,88,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
1304,902,2020-01-17 24:00,0.004,0.7,0.001,0.048,50,28,47,29,85,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-17
