지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),습도(%)
133,대전,2020-01-17 0:01,-1.8,0,96.4,0.5,1017.3,60
133,대전,2020-01-17 0:02,-1.8,0,83.8,0.5,1017.2,59.8
133,대전,2020-01-17 0:03,-1.7,0,66.3,0.4,1017.2,59.8
133,대전,2020-01-17 0:04,-1.7,0,167,0.8,1017.2,59.7
133,대전,2020-01-17 0:05,-1.7,0,143.8,0.7,1017.2,59.6
133,대전,2020-01-17 0:06,-1.7,0,136.2,0.6,1017.2,59.6
133,대전,2020-01-17 0:07,-1.7,0,192.9,0.7,1017.2,59.7
133,대전,2020-01-17 0:08,-1.7,0,204.7,0.8,1017.2,59.7
133,대전,2020-01-17 0:09,-1.6,0,202.6,1,1017.2,59.7
133,대전,2020-01-17 0:10,-1.6,0,226.5,1.1,1017.2,59.7
133,대전,2020-01-17 0:11,-1.6,0,219.8,1,1017.2,59.6
133,대전,2020-01-17 0:12,-1.6,0,214.5,1.3,1017.2,59.7
133,대전,2020-01-17 0:13,-1.6,0,223.1,1.1,1017.2,59.6
133,대전,2020-01-17 0:14,-1.6,0,230.9,0.9,1017.2,59.4
133,대전,2020-01-17 0:15,-1.6,0,230.2,0.9,1017.2,59.4
133,대전,2020-01-17 0:16,-1.6,0,235.1,0.8,1017.1,59.3
133,대전,2020-01-17 0:17,-1.6,0,249.6,0.7,1017.1,59.4
133,대전,2020-01-17 0:18,-1.6,0,270.9,0.5,1017.1,59.4
133,대전,2020-01-17 0:19,-1.6,0,259.8,0.7,1017.1,59.5
133,대전,2020-01-17 0:20,-1.7,0,241,0.9,1017.1,59.4
133,대전,2020-01-17 0:21,-1.7,0,250.1,0.9,1017.1,59.5
133,대전,2020-01-17 0:22,-1.7,0,257.2,0.9,1017.1,59.7
133,대전,2020-01-17 0:23,-1.7,0,250.1,1,1017.1,59.8
133,대전,2020-01-17 0:24,-1.7,0,255.8,0.9,1017.1,60
133,대전,2020-01-17 0:25,-1.7,0,260.2,0.9,1017,60.4
133,대전,2020-01-17 0:26,-1.7,0,262.3,0.8,1017,60.7
133,대전,2020-01-17 0:27,-1.7,0,256.8,0.9,1017,60.8
133,대전,2020-01-17 0:28,-1.7,0,256.5,0.9,1017,61
133,대전,2020-01-17 0:29,-1.7,0,247.1,0.9,1017,61
133,대전,2020-01-17 0:30,-1.7,0,259.9,0.8,1017,60.7
133,대전,2020-01-17 0:31,-1.7,0,265.2,0.6,1017,60.7
133,대전,2020-01-17 0:32,-1.7,0,268,0.5,1017,60.7
133,대전,2020-01-17 0:33,-1.8,0,265.1,0.7,1017,60.6
133,대전,2020-01-17 0:34,-1.8,0,256.6,0.8,1017,61
133,대전,2020-01-17 0:35,-1.7,0,252.9,1,1017,61.3
133,대전,2020-01-17 0:36,-1.7,0,249.8,1,1016.9,61.4
133,대전,2020-01-17 0:37,-1.7,0,250.5,0.9,1016.9,61.2
133,대전,2020-01-17 0:38,-1.7,0,248.5,0.8,1016.9,61.1
133,대전,2020-01-17 0:39,-1.7,0,250.2,0.7,1016.9,60.9
133,대전,2020-01-17 0:40,-1.7,0,264,0.8,1016.9,61.1
133,대전,2020-01-17 0:41,-1.7,0,261.9,0.8,1016.9,61.1
133,대전,2020-01-17 0:42,-1.7,0,265.7,0.7,1016.9,60.9
133,대전,2020-01-17 0:43,-1.7,0,273,0.7,1016.9,60.9
133,대전,2020-01-17 0:44,-1.7,0,286.7,0.5,1016.9,60.7
133,대전,2020-01-17 0:45,-1.8,0,282.5,0.6,1016.9,60.5
133,대전,2020-01-17 0:46,-1.8,0,282.7,0.6,1016.9,60.6
133,대전,2020-01-17 0:47,-1.8,0,272.1,0.7,1016.9,60.9
133,대전,2020-01-17 0:48,-1.8,0,257.4,0.6,1016.9,61.1
133,대전,2020-01-17 0:49,-1.8,0,256,0.8,1016.9,61.3
133,대전,2020-01-17 0:50,-1.8,0,249.4,1,1016.9,61.4
133,대전,2020-01-17 0:51,-1.8,0,253.4,1.1,1016.9,61.4
133,대전,2020-01-17 0:52,-1.8,0,262.2,1,1016.9,61.3
133,대전,2020-01-17 0:53,-1.8,0,268.5,0.8,1016.9,61.4
133,대전,2020-01-17 0:54,-1.8,0,268.8,0.9,1016.8,61.3
133,대전,2020-01-17 0:55,-1.7,0,267.1,0.7,1016.8,61.3
133,대전,2020-01-17 0:56,-1.8,0,267.7,0.7,1016.8,61.2
133,대전,2020-01-17 0:57,-1.8,0,281,0.6,1016.8,61
133,대전,2020-01-17 0:58,-1.8,0,284,0.6,1016.9,61
133,대전,2020-01-17 0:59,-1.9,0,285.9,0.3,1016.9,60.8
133,대전,2020-01-17 1:00,-1.9,0,286.2,0.1,1016.9,60.8
133,대전,2020-01-17 1:01,-1.9,0,286.2,0.3,1016.9,60.8
133,대전,2020-01-17 1:02,-2,0,283,0.1,1016.9,60.7
133,대전,2020-01-17 1:03,-2,0,0,0,1016.9,61
133,대전,2020-01-17 1:04,-2,0,0,0.1,1016.9,61.2
133,대전,2020-01-17 1:05,-2,0,0,0.1,1016.9,61.2
133,대전,2020-01-17 1:06,-2,0,284.4,0.3,1016.9,61.5
133,대전,2020-01-17 1:07,-1.9,0,284.1,0.5,1016.9,61.6
133,대전,2020-01-17 1:08,-1.9,0,278.3,0.6,1016.9,61.7
133,대전,2020-01-17 1:09,-1.9,0,277.2,0.7,1016.9,61.5
133,대전,2020-01-17 1:10,-1.9,0,269.3,0.8,1016.9,61.5
133,대전,2020-01-17 1:11,-1.9,0,281.3,0.7,1016.9,61.7
133,대전,2020-01-17 1:12,-1.9,0,282.2,0.6,1016.9,61.8
133,대전,2020-01-17 1:13,-1.9,0,292.7,0.6,1016.9,61.5
133,대전,2020-01-17 1:14,-1.9,0,292.6,0.5,1016.8,61.7
133,대전,2020-01-17 1:15,-1.9,0,292.5,0.4,1016.9,61.8
133,대전,2020-01-17 1:16,-1.9,0,292,0.4,1016.9,61.8
133,대전,2020-01-17 1:17,-1.9,0,291.1,0.4,1016.9,62
133,대전,2020-01-17 1:18,-1.9,0,292.5,0.3,1016.9,62.1
133,대전,2020-01-17 1:19,-1.9,0,292.5,0.3,1016.9,62.1
133,대전,2020-01-17 1:20,-1.9,0,292.5,0.3,1016.9,62.2
133,대전,2020-01-17 1:21,-1.9,0,292.5,0.3,1016.8,62.2
133,대전,2020-01-17 1:22,-1.9,0,292.5,0.3,1016.8,62.2
133,대전,2020-01-17 1:23,-1.9,0,291.5,0.3,1016.8,62.3
133,대전,2020-01-17 1:24,-1.9,0,291.1,0.3,1016.8,62.4
133,대전,2020-01-17 1:25,-2,0,291.2,0.3,1016.8,61.9
133,대전,2020-01-17 1:26,-2,0,293.1,0.4,1016.9,61.9
133,대전,2020-01-17 1:27,-2,0,294,0.1,1016.9,61.7
133,대전,2020-01-17 1:28,-2,0,292.9,0.1,1016.9,61.7
133,대전,2020-01-17 1:29,-2.1,0,0,0,1016.9,61.7
133,대전,2020-01-17 1:30,-2.1,0,0,0,1016.9,61.6
133,대전,2020-01-17 1:31,-2.1,0,0,0,1016.9,61.6
133,대전,2020-01-17 1:32,-2.1,0,0,0,1016.9,61.4
133,대전,2020-01-17 1:33,-2.2,0,0,0,1016.9,61.5
133,대전,2020-01-17 1:34,-2.2,0,0,0,1016.9,61.5
133,대전,2020-01-17 1:35,-2.2,0,0,0,1016.9,61.8
133,대전,2020-01-17 1:36,-2.1,0,0,0,1016.9,62
133,대전,2020-01-17 1:37,-2.1,0,293.8,0.1,1016.9,62.1
133,대전,2020-01-17 1:38,-2.1,0,0,0.1,1016.9,62.1
133,대전,2020-01-17 1:39,-2.1,0,0,0.1,1016.9,62.2
133,대전,2020-01-17 1:40,-2.1,0,295.3,0.1,1016.9,62.2
133,대전,2020-01-17 1:41,-2.1,0,294.5,0.2,1016.9,62.3
133,대전,2020-01-17 1:42,-2.1,0,0,0.1,1016.9,62.4
133,대전,2020-01-17 1:43,-2,0,295.3,0.1,1016.9,62.2
